RaceID,OoA,horseID,jockeyID,mu_horse,mu_jockey,pf_horse,pf_jockey,pf_all
1,1,343,34,1.2397440778486,1.25377110084051,1.3295745686808,1.67723892961245,3.00681349829325
1,2,629,53,0.513455242200749,0.48620744230413,1.9335981097327,0.0445523518402884,1.97815046157299
1,3,525,9,1.8952202374276,-0.218856748859479,2.25394724882043,-0.473122242618991,1.78082500620144
1,4,625,36,1.55404782072175,-1.31808020947925,1.00672465958622,0.499170820528559,1.50589548011478
1,5,136,20,-0.151054391211883,0.833115837290978,-0.777317027929697,1.24819642990951,0.470879401979815
1,6,3,83,-0.120425057868905,0.103092471373563,0.393767660781461,-0.0065471284521567,0.387220532329304
1,7,4,4,0.896159643946973,-0.623252583026139,1.43218975907512,-1.07791655900291,0.354273200072217
1,8,624,41,-1.25515722664604,0.403062525257147,-1.34800274790028,1.62445730328718,0.2764545553869
1,9,628,61,1.54305297026731,-0.69447311344037,1.40761880384035,-1.35171691255594,0.055901891284408
1,10,110,73,-0.855064790437219,-0.0194334363921686,0.546899364892078,-0.627939705419806,-0.0810403405277277
1,11,527,54,-0.749873382141867,-0.35872556712181,0.0255185598220047,-0.285987054365159,-0.260468494543154
1,12,341,3,1.13532225406366,-1.82812170030497,0.859519375440187,-1.70927418749724,-0.849754812057051
1,13,6,15,-0.372620100306229,0.621149645120536,-1.54179934536751,0.640604117473654,-0.90119522789386
1,14,626,91,-1.39218233251241,-1.51396057788202,-1.25564581298669,-0.888426451332433,-2.14407226431912
1,15,627,22,-1.64884321846027,-0.307104976284271,-0.642012033518927,-2.79985702682801,-3.44186906034694
2,1,493,27,0.98511993961042,1.22061657198382,1.60954141821668,2.26385686728637,3.87339828550304
2,2,262,58,-0.59323662483925,1.16565903558842,2.2615158441923,0.721157339116133,2.98267318330843
2,3,172,67,-0.276366573351314,-0.684554590527796,2.56918393671259,0.117242686320439,2.68642662303303
2,4,495,13,2.04485376912718,0.308678127381635,2.30063020012651,-0.0353439996606651,2.26528620046585
2,5,497,52,0.951225185613822,1.00815702471117,1.09257208164699,1.16749069589113,2.26006277753812
2,6,496,25,0.794349742670015,0.646926400305727,-0.846778152626956,2.3138393867461,1.46706123411915
2,7,494,2,0.475125560253238,0.522431057034616,0.860246063932362,0.57980997531404,1.4400560392464
2,8,323,34,-0.35519230874793,1.25377110084051,0.600567397608057,0.519298792994659,1.11986619060272
2,9,492,29,0.919142643278897,2.31988841114103,-0.346125804678254,1.45847290963224,1.11234710495399
2,10,115,33,0.337439467501,0.589068030073415,0.257351424975361,0.391164357089902,0.648515782065263
2,11,296,60,-0.54655567701003,-0.852234667448614,-0.386144698600728,0.881776288504703,0.495631589903975
2,12,491,42,-0.976682803013344,0.0750789266712348,-0.863168114443048,0.545723539426338,-0.31744457501671
2,13,490,37,-1.68416155176849,-0.0525583274019962,-0.96081457627109,0.200738466207154,-0.760076110063936
2,14,498,38,-1.58623998286646,-0.457297416659365,-3.07452382296073,0.499659848735755,-2.57486397422498
2,15,303,28,-1.06228414698085,-0.995186262128487,-0.459272892028302,-3.1497886243615,-3.60906151638981
3,1,687,83,2.49312739017172,0.103092471373563,3.44512378734035,0.17856522037824,3.62368900771859
3,2,364,94,1.09941384150875,2.77981247787228,1.306393742674,1.96540470595008,3.27179844862408
3,3,83,7,1.93448676311449,-0.649852682817615,2.79016147708623,-0.56543952989965,2.22472194718658
3,4,686,51,1.05583641190178,0.41900670219618,2.54811925204443,-0.521439142897669,2.02668010914676
3,5,685,3,1.81990642213808,-1.82812170030497,2.89780287799776,-1.13707246304993,1.76073041494783
3,6,133,114,1.08168049075987,-0.126399218849582,1.31415359358232,-0.766122158376953,0.548031435205372
3,7,440,66,-2.14241753771408,1.49669140952358,-1.80517557677256,1.69049361831634,-0.114681958456212
3,8,688,92,1.57170068021293,0.110498782419782,0.2100755496608,-0.401847475281437,-0.191771925620637
3,9,441,35,-0.667656562294998,0.733194573320385,-0.477365467583398,0.0497970969939321,-0.427568370589466
3,10,213,1,-0.901339696719149,1.49332160845797,-2.08664361561342,1.24384655097675,-0.842797064636674
3,11,145,40,-0.296230939016815,-0.15832517903804,0.319826524574448,-1.5724153382878,-1.25258881371335
3,12,689,30,-1.64515085057475,-0.216028773753,-1.62443153482786,0.203463899595766,-1.42096763523209
3,13,684,75,-1.08829339788515,1.26921187464528,-1.33112946583253,-0.602210059226959,-1.93333952505949
3,14,683,73,-0.89494161748531,-0.0194334363921686,-2.6353522524781,0.346592195924632,-2.28876005655347
4,1,19,52,0.579664858871855,1.00815702471117,1.40188315160533,1.96410668990788,3.36598984151322
4,2,279,66,-0.729984756580504,1.49669140952358,0.365209121687119,1.74066563291004,2.10587475459715
4,3,15,86,-0.580435739068586,0.214422627612382,-0.551818756143531,2.4100103214235,1.85819156527997
4,4,632,2,1.12673293689005,0.522431057034616,0.809824686774077,0.923731677514193,1.73355636428827
